name;birthday;customer;orderdate;product;units;unitprice
Renita;1992-09-30;Industries International;2016-10-07 09:14:17.476376;Harry Potter book;44;17,74
Dominick;1979-07-26;Solutions Co;2016-10-09 09:14:17.476409;banana;33;10,0
Sasha;1986-05-08;Power LLC;2016-10-19 09:14:17.476433;Harry Potter book;39;15,58
Duncan;1958-07-04;Research Net Co;2016-10-09 09:14:17.476455;Corolla;48;24609,93
Frederick;1983-07-24;Building Max East Inc;2016-10-09 09:14:17.476476;Rubik’s Cube;21;16,73
Chance;1982-11-24;Max South Venture Organization;2016-10-18 09:14:17.476496;PlayStation;8;206,58
Magdalene;1983-11-28;Universal Agency;2016-10-12 09:14:17.476517;Harry Potter book;25;8,36
Lissette;1967-07-18;Frontier Hardware Industries;2016-10-08 09:14:17.476537;Lipitor;28;11,09
Zane;1981-12-31;Virtual Corporation;2016-10-02 09:14:17.476557;banana;15;10,0
Issac;1953-02-23;Building International;2016-10-04 09:14:17.476579;PlayStation;23;287,25
Otto;1964-12-01;Telecom Technology Limited;2016-10-07 09:14:17.476599;Rubik’s Cube;47;16,8
Darren;1971-02-14;Atlantic Organization;2016-10-20 09:14:17.476619;Harry Potter book;14;30,45
Michael;1962-11-05;Galaxy Federated Limited;2016-10-11 09:14:17.476639;iPad;42;320,41
Delmer;1996-10-05;Data Advanced Agency;2016-10-14 09:14:17.476659;Thriller record;32;11,87
Van;1966-03-26;Architecture Systems Analysis Co;2016-09-27 09:14:17.476679;PlayStation;1;226,93
Hellen;1982-02-01;Application Technology Software International;2016-10-05 09:14:17.476699;Thriller record;32;18,17
Timothy;1970-04-03;Max Co;2016-10-11 09:14:17.476719;iPhone;44;411,73
Shelly;1962-07-05;Building Agency;2016-10-17 09:14:17.476739;Corolla;39;24035,22
Eusebio;1969-01-08;Universal Industries;2016-10-10 09:14:17.476760;banana;31;10,0
Brant;1971-01-04;Hill Speed International;2016-10-08 09:14:17.476780;banana;18;10,0
Ebony;1987-03-14;Design Studio Group;2016-10-05 09:14:17.476800;Rubik’s Cube;20;17,15
Pasquale;1987-09-21;Max Application Star Limited;2016-10-14 09:14:17.476820;banana;35;10,0
Vince;1981-03-23;Direct Organization;2016-10-10 09:14:17.476841;Rubik’s Cube;36;15,31
Leann;1958-04-05;Net Corporation;2016-10-01 09:14:17.476861;iPad;23;1041,77
Michael;1962-11-05;Galaxy Federated Limited;2016-09-26 09:14:17.476881;Rubik’s Cube;17;17,22
Reta;1968-11-17;Interactive Power Inc;2016-10-02 09:14:17.476901;Thriller record;49;8,59
Earlene;1986-04-29;Data Star Agency;2016-09-30 09:14:17.476921;Harry Potter book;37;25,56
Pasquale;1987-09-21;Max Application Star Limited;2016-10-20 09:14:17.476943;iPhone;37;827,93
Leann;1958-04-05;Net Corporation;2016-10-16 09:14:17.476964;banana;24;10,0
Richie;1979-12-19;Design Virtual LLC;2016-10-14 09:14:17.476985;banana;13;10,0
Sung;1994-03-27;Solutions Group;2016-10-05 09:14:17.477007;Rubik’s Cube;32;16,32
Reuben;1983-08-05;Architecture Net Co;2016-09-26 09:14:17.477026;Corolla;25;20287,43
Marta;1976-02-19;Industries Net Signal Organization;2016-09-29 09:14:17.477046;banana;1;10,0
Chad;1993-07-19;Direct Group;2016-09-29 09:14:17.477066;iPad;15;623,22
Zack;1987-04-23;General Hardware Limited;2016-09-29 09:14:17.477085;iPhone;23;866,71
Cathie;1973-02-26;Adventure South North Limited;2016-10-14 09:14:17.477105;iPad;16;866,84
Marcelino;1956-04-10;Internet Consulting Digital Co;2016-09-29 09:14:17.477125;Corolla;46;23982,07
Tessa;1978-03-14;South Telecom International;2016-10-14 09:14:17.477145;PlayStation;12;220,91
Nora;1982-05-31;Net Speed Analysis Corporation;2016-09-27 09:14:17.477164;iPhone;38;843,24
Jewel;1986-07-12;Bell Incorporated;2016-09-28 09:14:17.477184;banana;6;10,0
Samual;1975-09-18;Speed Digital Galaxy LLC;2016-10-04 09:14:17.477204;Rubik’s Cube;18;17,42
Manuela;1958-01-25;Resource International;2016-10-09 09:14:17.477224;Harry Potter book;49;32,45
Reba;1967-07-12;Direct Limited;2016-09-30 09:14:17.477244;PlayStation;45;297,73
Oren;1979-11-07;Pacific Vision Construction Agency;2016-10-15 09:14:17.477263;Corolla;11;22086,25
Herbert;1984-12-04;Internet Incorporated;2016-10-02 09:14:17.477283;PlayStation;37;212,2
Winifred;1982-11-04;Solutions Interactive Star LLC;2016-10-17 09:14:17.477326;Thriller record;22;18,39
Ezequiel;1980-10-07;Advanced Alpha Virtual Organization;2016-10-13 09:14:17.477378;Corolla;4;21550,88
Olen;1967-05-20;People Industries;2016-10-14 09:14:17.477405;PlayStation;28;273,81
Drew;1968-03-13;Architecture Industries;2016-09-30 09:14:17.477428;Lipitor;1;11,16
Zane;1981-12-31;Virtual Corporation;2016-10-05 09:14:17.477449;PlayStation;49;297,74
Brady;1981-06-28;Design Hill Direct International;2016-10-16 09:14:17.477469;Lipitor;11;10,02
Paige;1965-04-08;Hardware Medicine Corporation;2016-10-01 09:14:17.477494;Harry Potter book;36;12,52
Philip;1979-02-18;Design Resource Limited;2016-09-30 09:14:17.477515;iPad;43;1070,91
Mari;1972-10-23;Consulting Federated Vision Agency;2016-10-16 09:14:17.477536;Corolla;48;22248,1
Herbert;1984-12-04;Internet Incorporated;2016-10-07 09:14:17.477556;PlayStation;36;247,3
Emanuel;1975-01-15;Consulting Analysis Power Agency;2016-10-02 09:14:17.477576;Rubik’s Cube;29;17,57
Hans;1961-04-30;Adventure Bell Speed Group;2016-10-14 09:14:17.477596;Harry Potter book;46;30,27
Brice;1985-06-19;Hardware Industries;2016-09-30 09:14:17.477615;Rubik’s Cube;21;18,53
Adolph;1983-07-22;Innovation Pacific Corporation;2016-10-02 09:14:17.477638;Corolla;36;21582,63
Aurelio;1976-08-25;Medicine Galaxy Limited;2016-10-09 09:14:17.477659;Lipitor;45;11,33
Rashad;1982-10-11;West Construction Network Corporation;2016-10-07 09:14:17.477679;PlayStation;19;257,7
Joshua;1958-02-21;Software Alpha North Group;2016-10-11 09:14:17.477699;iPhone;26;422,97
Brice;1985-06-19;Hardware Industries;2016-10-10 09:14:17.477719;Corolla;5;20903,7
Edmund;1985-01-13;Studio Inc;2016-10-06 09:14:17.477739;iPhone;23;450,65
Laura;1972-03-18;Net Medicine Solutions Corporation;2016-10-07 09:14:17.477759;PlayStation;31;299,17
Augusta;1986-06-27;Research Speed Corporation;2016-10-09 09:14:17.477778;Corolla;11;24475,7
Veronica;1987-04-03;South Data Inc;2016-10-18 09:14:17.477798;Star Wars;20;8,24
Alfonso;1986-05-19;Power People Co;2016-09-28 09:14:17.477818;iPad;26;541,03
Gregorio;1975-12-06;North Analysis Organization;2016-10-07 09:14:17.477837;Lipitor;46;10,88
Tyree;1984-11-03;Electronic Atlantic West Inc;2016-10-07 09:14:17.477857;Rubik’s Cube;49;18,92
Rafaela;1981-01-19;Design International;2016-10-06 09:14:17.477877;Rubik’s Cube;37;15,95
Alden;1983-07-29;Hardware Group;2016-10-13 09:14:17.477896;Star Wars;21;10,69
Lillian;1983-08-24;Network Organization;2016-10-06 09:14:17.477916;Harry Potter book;48;5,73
Romeo;1995-03-07;Vision Co;2016-10-12 09:14:17.477938;iPhone;36;856,52
Santa;1986-11-20;Star LLC;2016-10-16 09:14:17.477957;Rubik’s Cube;29;16,01
Nora;1982-05-31;Net Speed Analysis Corporation;2016-10-08 09:14:17.477977;Lipitor;37;10,06
Lavern;1983-02-10;North Virtual Star Limited;2016-10-08 09:14:17.477997;PlayStation;7;227,62
Ashleigh;1980-12-30;Galaxy International;2016-09-27 09:14:17.478017;Star Wars;12;11,05
