name;birthday;customer;orderdate;product;units;unitprice
Pasquale;1967-09-02 00:00:00;Electronics Inc;2016-07-17 13:48:03;Thriller record;2;13,27
India;1968-12-13 00:00:00;Electronics Resource Group;2016-07-06 13:48:03;Corolla;26;24458,69
Wayne;1992-09-10 00:00:00;East Application Contract Inc;2016-07-22 13:48:03;Rubik’s Cube;41;15,79
Cori;1986-11-05 00:00:00;Signal Industries;2016-07-23 13:48:03;iPhone;16;584,01
Chang;1972-04-23 00:00:00;Star Alpha Industries;2016-07-16 13:48:03;Harry Potter book;4;25,69
Weldon;1953-03-17 00:00:00;Network Application Co;2016-07-22 13:48:03;Lipitor;1;11,22
Sung;1977-10-23 00:00:00;Omega Pacific Future Incorporated;2016-07-09 13:48:03;PlayStation;25;294,9
Emily;1982-07-02 00:00:00;Medicine Incorporated;2016-07-16 13:48:03;Thriller record;5;18,27
Cornell;1963-07-02 00:00:00;Technology Direct Star Limited;2016-07-08 13:48:03;Rubik’s Cube;35;15,98
Ervin;1977-10-14 00:00:00;Provider Agency;2016-07-19 13:48:03;Star Wars;24;11,5
Odis;1985-07-05 00:00:00;Technology International;2016-07-15 13:48:03;Star Wars;27;8,09
Cornell;1963-07-02 00:00:00;Technology Direct Star Limited;2016-07-20 13:48:03;iPad;12;368,98
Kelli;1982-05-10 00:00:00;Building Construction Group;2016-07-13 13:48:03;Corolla;43;24870,63
Rosalina;1967-10-24 00:00:00;Software Group;2016-07-09 13:48:03;PlayStation;43;242,63
Tracy;1984-11-29 00:00:00;Hill Pacific Analysis Co;2016-07-22 13:48:03;iPad;41;646,14
Marion;1962-12-04 00:00:00;Virtual Limited;2016-07-11 13:48:03;Corolla;7;23570,41
Doretha;1969-08-08 00:00:00;Industries Systems Bell Group;2016-06-30 13:48:03;Star Wars;9;11,85
Zelma;1984-01-14 00:00:00;Medicine Inc;2016-07-06 13:48:03;PlayStation;15;290,46
Galen;1992-02-02 00:00:00;Construction Data Agency;2016-07-13 13:48:03;Thriller record;8;18,64
Marcia;1952-10-17 00:00:00;Graphics Systems Corporation;2016-07-15 13:48:03;Harry Potter book;20;26,79
Alaina;1984-05-30 00:00:00;Advanced Resource LLC;2016-07-26 13:48:03;Harry Potter book;26;33,48
Leigh;1993-08-01 00:00:00;South Consulting Corporation;2016-07-10 13:48:03;PlayStation;11;265,01
Larry;1980-10-15 00:00:00;Atlantic Incorporated;2016-07-10 13:48:03;Rubik’s Cube;17;15,9
Chet;1980-12-18 00:00:00;Vision Speed International;2016-07-15 13:48:03;iPhone;44;500,83
Lottie;1981-08-08 00:00:00;Building Research Frontier LLC;2016-07-02 13:48:03;Rubik’s Cube;17;18,07
Elyse;1982-12-24 00:00:00;General Corporation;2016-07-09 13:48:03;Harry Potter book;22;17,07
Ron;1978-12-13 00:00:00;Vision Inc;2016-07-11 13:48:03;PlayStation;13;206,32
Robbin;1979-12-01 00:00:00;Interactive Net LLC;2016-07-15 13:48:03;Corolla;18;22280,9
Dana;1984-07-11 00:00:00;Net Speed Interactive Incorporated;2016-06-30 13:48:03;Corolla;44;20103,97
Anton;1973-03-26 00:00:00;Universal Application Speed Inc;2016-07-09 13:48:03;PlayStation;37;260,43
Ellsworth;1979-03-18 00:00:00;Application Systems Group;2016-07-05 13:48:03;Harry Potter book;36;18,67
Daniel;1978-03-05 00:00:00;Studio East Industries;2016-07-17 13:48:03;banana;6;10
Melodie;1952-01-20 00:00:00;Source Atlantic Speed LLC;2016-07-06 13:48:03;Harry Potter book;20;12,99
Merrill;1978-06-07 00:00:00;Star Technology Industries;2016-06-30 13:48:03;PlayStation;28;299,31
Rashad;1981-08-12 00:00:00;General Contract Corporation;2016-07-14 13:48:03;iPhone;47;871,32
Cornell;1963-07-02 00:00:00;Technology Direct Star Limited;2016-07-12 13:48:03;Lipitor;8;10,66
Jody;1979-08-10 00:00:00;Star Digital Speed Organization;2016-07-21 13:48:03;Thriller record;41;13,64
Carmelo;1982-04-07 00:00:00;Max Future Net Group;2016-07-21 13:48:03;Thriller record;22;17
